Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
D17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
D18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
D19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
D20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
D21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
D22,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
D23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
D24,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E1,false,cohoDUDA,chi1269,SYBR,Standard,33.539891138168656,100
E2,false,cohoDUDA,chi1269,SYBR,Standard,33.1599006483073,100
E3,false,cohoDUDA,chi1269,SYBR,Standard,34.71131667623382,100
E4,false,cohoDUDA,chi1269,SYBR,Standard,32.653629797136375,100
E5,false,cohoDUDA,chi1269,SYBR,Standard,32.66542693340509,100
E6,false,cohoDUDA,chi1269,SYBR,Standard,32.28388070260702,100
E7,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E9,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E10,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E12,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E13,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E14,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E16,false,cohoDUDA,chi1269,SYBR,Unknown,40.16513751735239,0.6787853533458178
E17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E22,false,cohoDUDA,chi1269,SYBR,Unknown,33.82164350440526,50.0418776808475
E23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
E24,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
F1,false,cohoDUDA,chi1269,SYBR,Standard,Undetermined,10
F2,false,cohoDUDA,chi1269,SYBR,Standard,Undetermined,10
F3,false,cohoDUDA,chi1269,SYBR,Standard,Undetermined,10
F4,false,cohoDUDA,chi1269,SYBR,Standard,Undetermined,10
F5,false,cohoDUDA,chi1269,SYBR,Standard,34.40951574369255,100
F6,false,cohoDUDA,chi1269,SYBR,Standard,32.86959254752037,100
F7,false,cohoDUDA,chi1269,SYBR,Unknown,23.982228396814506,39461.724418250225
F8,false,cohoDUDA,chi1269,SYBR,Unknown,24.05252131637363,37625.38704786659
F9,false,cohoDUDA,chi1269,SYBR,Unknown,24.1908833905703,34256.69910043967
F10,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
F11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
F12,false,cohoDUDA,chi1269,SYBR,Unknown,33.77716771608421,51.57364249419113
F13,false,cohoDUDA,chi1269,SYBR,Unknown,26.48861098773086,7215.506127286883
F14,false,cohoDUDA,chi1269,SYBR,Unknown,26.56088763271461,6870.48955877297
F15,false,cohoDUDA,chi1269,SYBR,Unknown,26.573063663293617,6814.01230832327
F16,false,cohoDUDA,chi1269,SYBR,Unknown,30.550712791797054,459.5524050806857
F17,false,cohoDUDA,chi1269,SYBR,Unknown,30.40281837947289,508.01547497882785
F18,false,cohoDUDA,chi1269,SYBR,Unknown,30.791664906163533,390.29755906721573
F19,false,cohoDUDA,chi1269,SYBR,Unknown,29.336352017805012,1046.785020658456
F20,false,cohoDUDA,chi1269,SYBR,Unknown,28.968191966681204,1343.532752420523
F21,false,cohoDUDA,chi1269,SYBR,Unknown,29.209611995404543,1140.6996027112154
F22,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
F23,false,cohoDUDA,chi1269,SYBR,Unknown,34.43445284806566,33.03049911843719
F24,false,cohoDUDA,chi1269,SYBR,Unknown,33.24942690987537,73.75662959767241
G1,false,cohoDUDA,chi1269,SYBR,Standard,Undetermined,10
G2,false,cohoDUDA,chi1269,SYBR,Standard,34.5241074275129,10
G3,false,cohoDUDA,chi1269,SYBR,Standard,Undetermined,10
G4,false,cohoDUDA,chi1269,SYBR,Standard,34.477686877579714,10
G5,false,cohoDUDA,chi1269,SYBR,Standard,Undetermined,10
G6,false,cohoDUDA,chi1269,SYBR,Negative Control,Undetermined,
G7,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G9,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G10,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G11,false,cohoDUDA,chi1269,SYBR,Unknown,33.13855372296507,79.51397522252577
G12,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G13,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G14,false,cohoDUDA,chi1269,SYBR,Unknown,33.767185370679755,51.92383106838866
G15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G16,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G20,false,cohoDUDA,chi1269,SYBR,Unknown,33.18056413501584,77.28142014669301
G21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
G22,false,cohoDUDA,chi1269,SYBR,Unknown,32.78629348904265,100.96087990776772
G23,false,cohoDUDA,chi1269,SYBR,Unknown,32.71570564351906,105.9095297892445
G24,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H1,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H2,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H3,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H4,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H5,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H6,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H7,false,cohoDUDA,chi1269,SYBR,Unknown,22.29609216222517,123764.16044120332
H8,false,cohoDUDA,chi1269,SYBR,Unknown,22.470883100136234,109934.58471653574
H9,false,cohoDUDA,chi1269,SYBR,Unknown,22.51138516261488,106957.20478517868
H10,false,cohoDUDA,chi1269,SYBR,Unknown,32.10653798157537,160.05945934659195
H11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H12,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H13,false,cohoDUDA,chi1269,SYBR,Unknown,31.643864557574247,219.0271645887938
H14,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H16,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H19,false,cohoDUDA,chi1269,SYBR,Unknown,34.15369578004169,39.95520863764019
H20,false,cohoDUDA,chi1269,SYBR,Unknown,33.636012198722895,56.75259076741551
H21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H22,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
H24,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I1,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I2,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I3,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I4,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I5,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I6,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I7,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I9,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I10,false,cohoDUDA,chi1269,SYBR,Unknown,33.793488682948336,51.00617022664199
I11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I12,false,cohoDUDA,chi1269,SYBR,Unknown,33.09822418644261,81.71785681322497
I13,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I14,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I16,false,cohoDUDA,chi1269,SYBR,Unknown,33.77358887182308,51.69891876664341
I17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
I21,false,cohoDUDA,chi1269,SYBR,Unknown,33.7462848464139,52.66475821599603
I22,false,cohoDUDA,chi1269,SYBR,Unknown,31.795289914252756,197.65897093612858
I23,false,cohoDUDA,chi1269,SYBR,Unknown,31.4059695389574,257.35768619337097
I24,false,cohoDUDA,chi1269,SYBR,Unknown,31.78354590806942,199.23888701929906
J1,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J2,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J3,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J4,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J5,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J6,false,cohoDUDA,chi1269,SYBR,Unknown,42.62970579475388,0.1276832243500408
J7,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J9,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J10,false,cohoDUDA,chi1269,SYBR,Unknown,32.083784795953434,162.5474488869696
J11,false,cohoDUDA,chi1269,SYBR,Unknown,34.71222815790398,27.36117446663306
J12,false,cohoDUDA,chi1269,SYBR,Unknown,31.964269505948977,176.26533082979236
J13,false,cohoDUDA,chi1269,SYBR,Unknown,37.36511483261401,4.529944767962686
J14,false,cohoDUDA,chi1269,SYBR,Unknown,35.40425534308142,17.115657481480675
J15,false,cohoDUDA,chi1269,SYBR,Unknown,34.91111348726032,23.910050644527193
J16,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J18,false,cohoDUDA,chi1269,SYBR,Unknown,34.6500982148726,28.538197541061113
J19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J22,false,cohoDUDA,chi1269,SYBR,Unknown,32.32990097954375,137.5690016015573
J23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
J24,false,cohoDUDA,chi1269,SYBR,Unknown,36.065578455324925,10.931810320593678
K1,false,cohoDUDA,chi1269,SYBR,Unknown,34.83829423565176,25.119984195085888
K2,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K3,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K4,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K5,false,cohoDUDA,chi1269,SYBR,Unknown,33.720274618835816,53.601608124214394
K6,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K7,false,cohoDUDA,chi1269,SYBR,Unknown,34.890273450813325,24.250240723715347
K8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K9,false,cohoDUDA,chi1269,SYBR,Unknown,34.77013187460483,26.307960607198936
K10,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K12,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K13,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K14,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K16,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K22,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
K24,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
L1,false,cohoDUDA,chi1269,SYBR,Unknown,36.04655519784676,11.073700260486817
L2,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
L3,false,cohoDUDA,chi1269,SYBR,Unknown,33.50823178023943,61.88790594902435
L4,false,cohoDUDA,chi1269,SYBR,Unknown,33.705706992812495,54.133574391271246
L5,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
L6,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
L7,false,cohoDUDA,chi1269,SYBR,Unknown,34.47765954829839,32.077060459728585
L8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
L9,false,cohoDUDA,chi1269,SYBR,Unknown,34.78174507977678,26.101659217791138
L10,false,cohoDUDA,chi1269,SYBR,Unknown,20.006014463471352,584549.631350498
L11,false,cohoDUDA,chi1269,SYBR,Unknown,20.22745250549182,503068.77398379776
L12,false,cohoDUDA,chi1269,SYBR,Unknown,20.57485794202639,397509.0413323334
L13,false,cohoDUDA,chi1269,SYBR,Unknown,29.87238167249776,727.8533830453046
L14,false,cohoDUDA,chi1269,SYBR,Unknown,30.63068112631575,435.3027404900249
L15,false,cohoDUDA,chi1269,SYBR,Unknown,30.458919607153838,489.0576580742935
L16,false,cohoDUDA,chi1269,SYBR,Unknown,27.63921053117243,3307.6261669390396
L17,false,cohoDUDA,chi1269,SYBR,Unknown,28.35987522453933,2029.2896610640455
L18,false,cohoDUDA,chi1269,SYBR,Unknown,28.309393517124853,2099.937969142269
L19,false,cohoDUDA,chi1269,SYBR,Unknown,27.534592083008796,3550.727565727899
L20,false,cohoDUDA,chi1269,SYBR,Unknown,27.51697401450042,3593.3897411146777
L21,false,cohoDUDA,chi1269,SYBR,Unknown,27.369025068502474,3972.485104512594
L22,false,cohoDUDA,chi1269,SYBR,Unknown,27.676073972103687,3225.9926789207193
L23,false,cohoDUDA,chi1269,SYBR,Unknown,28.124092578691027,2381.0104253015957
L24,false,cohoDUDA,chi1269,SYBR,Unknown,27.997539337245705,2594.2994129412323
M1,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M2,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M3,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M4,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M5,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M6,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M7,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M8,false,cohoDUDA,chi1269,SYBR,Unknown,33.678726891373614,55.13279009949419
M9,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M10,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M12,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M13,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M14,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M16,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M22,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
M24,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
N1,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
N2,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
