Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
K10,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
K13,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
L10,false,chinookDUDA,ckco3,SYBR,Unknown,35.335925202827354,0.5054545239273669
L13,false,chinookDUDA,ckco3,SYBR,Unknown,34.398742260977656,0.9546853103704761
M10,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
M13,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
N10,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
N13,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
O10,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
O13,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
P10,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
P13,false,chinookDUDA,ckco3,SYBR,Unknown,Undetermined,
A4,false,cohoDUDA,cocytb,SYBR,Standard,20.229454348567153,10000
A5,false,cohoDUDA,cocytb,SYBR,Unknown,31.663575239753598,9.714206643170423
B4,false,cohoDUDA,cocytb,SYBR,Standard,23.636918503738748,1000
B5,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
C4,false,cohoDUDA,cocytb,SYBR,Standard,27.149351181810793,100
C5,false,cohoDUDA,cocytb,SYBR,Unknown,24.40962123274737,653.4981463486786
D4,false,cohoDUDA,cocytb,SYBR,Standard,30.63789104936364,10
D5,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
E4,false,cohoDUDA,cocytb,SYBR,Standard,36.57176614486528,1
E5,false,cohoDUDA,cocytb,SYBR,Unknown,21.554066384249033,3425.9532963031197
F4,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
F5,false,cohoDUDA,cocytb,SYBR,Negative Control,Undetermined,
G4,false,cohoDUDA,cocytb,SYBR,Unknown,35.631974891186914,0.9715335911582116
G5,false,cohoDUDA,cocytb,SYBR,Negative Control,Undetermined,
H4,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
H5,false,cohoDUDA,cocytb,SYBR,Negative Control,Undetermined,
I4,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
J4,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
K4,false,cohoDUDA,cocytb,SYBR,Unknown,27.795143549877515,91.65731363674946
L4,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
M4,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
N4,false,cohoDUDA,cocytb,SYBR,Unknown,34.51154422224097,1.861151518678594
O4,false,cohoDUDA,cocytb,SYBR,Unknown,36.23352661167263,0.6852988533036376
P4,false,cohoDUDA,cocytb,SYBR,Unknown,Undetermined,
