Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
D14,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D15,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D16,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D17,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D18,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D19,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D20,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D21,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D22,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D23,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
D24,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E1,false,chinookDUDA,chi1269,SYBR,Standard,32.99859129802219,100
E2,false,chinookDUDA,chi1269,SYBR,Standard,33.678606742145305,100
E3,false,chinookDUDA,chi1269,SYBR,Standard,33.4004665608672,100
E4,false,chinookDUDA,chi1269,SYBR,Standard,34.65124528274053,100
E5,false,chinookDUDA,chi1269,SYBR,Standard,34.53168592630399,100
E6,false,chinookDUDA,chi1269,SYBR,Standard,33.644383373843326,100
E7,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E8,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E9,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E10,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E11,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E12,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E13,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E14,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E15,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E16,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E17,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E18,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E19,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E20,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E21,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E22,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E23,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
E24,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
F1,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
F2,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
F3,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
F4,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
F5,false,chinookDUDA,chi1269,SYBR,Standard,31.771562234389975,100
F6,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,100
F7,false,chinookDUDA,chi1269,SYBR,Unknown,25.279461031521983,27510.80181432139
F8,false,chinookDUDA,chi1269,SYBR,Unknown,25.335540204750927,26483.230503758077
F9,false,chinookDUDA,chi1269,SYBR,Unknown,25.45636213218897,24397.89391517575
F10,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
