Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
D12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D17,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D21,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
D24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E1,false,sockeyeDUDA,chi1269,SYBR,Standard,30.208066271767144,100
E2,false,sockeyeDUDA,chi1269,SYBR,Standard,31.95757235355341,100
E3,false,sockeyeDUDA,chi1269,SYBR,Standard,31.83978492358076,100
E4,false,sockeyeDUDA,chi1269,SYBR,Standard,30.690996709277734,100
E5,false,sockeyeDUDA,chi1269,SYBR,Standard,29.753715612224653,100
E6,false,sockeyeDUDA,chi1269,SYBR,Standard,30.565913864869408,100
E7,false,sockeyeDUDA,chi1269,SYBR,Unknown,43.30821597943374,0.026354558420257516
E8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E17,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E21,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
E24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F1,false,sockeyeDUDA,chi1269,SYBR,Standard,32.61748412459542,10
F2,false,sockeyeDUDA,chi1269,SYBR,Standard,Undetermined,10
F3,false,sockeyeDUDA,chi1269,SYBR,Standard,Undetermined,10
F4,false,sockeyeDUDA,chi1269,SYBR,Standard,36.62501629240171,10
F5,false,sockeyeDUDA,chi1269,SYBR,Standard,31.320777969111028,100
F6,false,sockeyeDUDA,chi1269,SYBR,Standard,30.84657293734655,100
F7,false,sockeyeDUDA,chi1269,SYBR,Unknown,31.38811951062329,85.30987196098347
F8,false,sockeyeDUDA,chi1269,SYBR,Unknown,33.65035103060286,18.400675271454514
F9,false,sockeyeDUDA,chi1269,SYBR,Unknown,31.336945961682524,88.32192084955382
F10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F17,false,sockeyeDUDA,chi1269,SYBR,Unknown,33.74990262383301,17.199607252312685
F18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F19,false,sockeyeDUDA,chi1269,SYBR,Unknown,32.00039142020062,56.32509064184099
F20,false,sockeyeDUDA,chi1269,SYBR,Unknown,31.639701651160507,71.93085229944421
F21,false,sockeyeDUDA,chi1269,SYBR,Unknown,30.918486587834906,117.29875073474479
F22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
F24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G1,false,sockeyeDUDA,chi1269,SYBR,Standard,Undetermined,10
G2,false,sockeyeDUDA,chi1269,SYBR,Standard,Undetermined,10
G3,false,sockeyeDUDA,chi1269,SYBR,Standard,33.536456492836976,10
G4,false,sockeyeDUDA,chi1269,SYBR,Standard,Undetermined,10
G5,false,sockeyeDUDA,chi1269,SYBR,Standard,Undetermined,10
G6,false,sockeyeDUDA,chi1269,SYBR,Negative Control,Undetermined,
G7,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G17,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G21,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
G24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H1,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H2,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H3,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H4,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H5,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H6,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H7,false,sockeyeDUDA,chi1269,SYBR,Unknown,31.90110158361221,60.247641474615364
H8,false,sockeyeDUDA,chi1269,SYBR,Unknown,30.084196904979464,206.52325489972117
H9,false,sockeyeDUDA,chi1269,SYBR,Unknown,30.85492540106324,122.46455930982572
H10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H17,false,sockeyeDUDA,chi1269,SYBR,Unknown,37.7272254710945,1.1595923652579456
H18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H21,false,sockeyeDUDA,chi1269,SYBR,Unknown,33.83338110826338,16.253106886638744
H22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
H24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
I1,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
