Target,Date,Total
Chinook,20240912,1408
Chinook,20240919,"1,340"
Chinook,20240926,2050
Chinook,20241003,0
Chinook,20241010,2994
Chinook,20241017,0
Chinook,20241024,250
Chinook,20241031,0
Chinook,20241107,0
Chinook,20241114,0
Chinook,20241121,0
Chinook,20241127,0
Chinook,20241205,0
Chinook,20241212,0
